Time resolution is 1 ps
t=              900000, clk=0, reset=0, enable=1, we=1, wra=0e, wrd=  0, t1attempts=00f, t1fails=000, t2attempts=000, t2fails=000
t=              910000, clk=1, reset=0, enable=1, we=1, wra=0e, wrd=  0, t1attempts=00f, t1fails=000, t2attempts=000, t2fails=000
t=              920000, clk=0, reset=0, enable=1, we=0, wra=0e, wrd=  0, t1attempts=00f, t1fails=000, t2attempts=000, t2fails=000
t=              930000, clk=1, reset=0, enable=1, we=0, wra=0e, wrd=  0, t1attempts=00f, t1fails=000, t2attempts=000, t2fails=000
t=              940000, clk=0, reset=0, enable=1, we=0, wra=0e, wrd=  0, t1attempts=00f, t1fails=000, t2attempts=000, t2fails=000
t=              950000, clk=1, reset=0, enable=1, we=0, wra=0e, wrd=  0, t1attempts=00f, t1fails=000, t2attempts=000, t2fails=000
t=              960000, clk=0, reset=0, enable=1, we=1, wra=0f, wrd=  0, t1attempts=010, t1fails=000, t2attempts=000, t2fails=000
t=              970000, clk=1, reset=0, enable=1, we=1, wra=0f, wrd=  0, t1attempts=010, t1fails=000, t2attempts=000, t2fails=000
t=              980000, clk=0, reset=0, enable=1, we=0, wra=0f, wrd=  0, t1attempts=010, t1fails=000, t2attempts=000, t2fails=000
t=              990000, clk=1, reset=0, enable=1, we=0, wra=0f, wrd=  0, t1attempts=010, t1fails=000, t2attempts=000, t2fails=000
t=             1000000, clk=0, reset=0, enable=1, we=0, wra=0f, wrd=  0, t1attempts=010, t1fails=000, t2attempts=000, t2fails=000
t=             1010000, clk=1, reset=0, enable=1, we=0, wra=0f, wrd=  0, t1attempts=010, t1fails=000, t2attempts=000, t2fails=000
t=             1020000, clk=0, reset=0, enable=1, we=1, wra=10, wrd=  0, t1attempts=011, t1fails=000, t2attempts=000, t2fails=000
t=             1030000, clk=1, reset=0, enable=1, we=1, wra=10, wrd=  0, t1attempts=011, t1fails=000, t2attempts=000, t2fails=000
t=             1040000, clk=0, reset=0, enable=1, we=0, wra=10, wrd=  0, t1attempts=011, t1fails=000, t2attempts=000, t2fails=000
t=             1050000, clk=1, reset=0, enable=1, we=0, wra=10, wrd=  0, t1attempts=011, t1fails=000, t2attempts=000, t2fails=000
t=             1060000, clk=0, reset=0, enable=1, we=0, wra=10, wrd=  0, t1attempts=011, t1fails=000, t2attempts=000, t2fails=000
t=             1070000, clk=1, reset=0, enable=1, we=0, wra=10, wrd=  0, t1attempts=011, t1fails=000, t2attempts=000, t2fails=000
t=             1080000, clk=0, reset=0, enable=1, we=1, wra=11, wrd=  0, t1attempts=012, t1fails=000, t2attempts=000, t2fails=000
t=             1090000, clk=1, reset=0, enable=1, we=1, wra=11, wrd=  0, t1attempts=012, t1fails=000, t2attempts=000, t2fails=000
t=             1100000, clk=0, reset=0, enable=1, we=0, wra=11, wrd=  0, t1attempts=012, t1fails=000, t2attempts=000, t2fails=000
t=             1110000, clk=1, reset=0, enable=1, we=0, wra=11, wrd=  0, t1attempts=012, t1fails=000, t2attempts=000, t2fails=000
t=             1120000, clk=0, reset=0, enable=1, we=0, wra=11, wrd=  0, t1attempts=012, t1fails=000, t2attempts=000, t2fails=000
t=             1130000, clk=1, reset=0, enable=1, we=0, wra=11, wrd=  0, t1attempts=012, t1fails=000, t2attempts=000, t2fails=000
t=             1140000, clk=0, reset=0, enable=1, we=1, wra=12, wrd=  0, t1attempts=013, t1fails=000, t2attempts=000, t2fails=000
t=             1150000, clk=1, reset=0, enable=1, we=1, wra=12, wrd=  0, t1attempts=013, t1fails=000, t2attempts=000, t2fails=000
t=             1160000, clk=0, reset=0, enable=1, we=0, wra=12, wrd=  0, t1attempts=013, t1fails=000, t2attempts=000, t2fails=000
t=             1170000, clk=1, reset=0, enable=1, we=0, wra=12, wrd=  0, t1attempts=013, t1fails=000, t2attempts=000, t2fails=000
t=             1180000, clk=0, reset=0, enable=1, we=0, wra=12, wrd=  0, t1attempts=013, t1fails=000, t2attempts=000, t2fails=000
t=             1190000, clk=1, reset=0, enable=1, we=0, wra=12, wrd=  0, t1attempts=013, t1fails=000, t2attempts=000, t2fails=000
t=             1200000, clk=0, reset=0, enable=1, we=1, wra=13, wrd=  0, t1attempts=014, t1fails=000, t2attempts=000, t2fails=000
t=             1210000, clk=1, reset=0, enable=1, we=1, wra=13, wrd=  0, t1attempts=014, t1fails=000, t2attempts=000, t2fails=000
t=             1220000, clk=0, reset=0, enable=1, we=0, wra=13, wrd=  0, t1attempts=014, t1fails=000, t2attempts=000, t2fails=000
t=             1230000, clk=1, reset=0, enable=1, we=0, wra=13, wrd=  0, t1attempts=014, t1fails=000, t2attempts=000, t2fails=000
t=             1240000, clk=0, reset=0, enable=1, we=0, wra=13, wrd=  0, t1attempts=014, t1fails=000, t2attempts=000, t2fails=000
t=             1250000, clk=1, reset=0, enable=1, we=0, wra=13, wrd=  0, t1attempts=014, t1fails=000, t2attempts=000, t2fails=000
t=             1260000, clk=0, reset=0, enable=1, we=1, wra=14, wrd=  0, t1attempts=015, t1fails=000, t2attempts=000, t2fails=000
t=             1270000, clk=1, reset=0, enable=1, we=1, wra=14, wrd=  0, t1attempts=015, t1fails=000, t2attempts=000, t2fails=000
t=             1280000, clk=0, reset=0, enable=1, we=0, wra=14, wrd=  0, t1attempts=015, t1fails=000, t2attempts=000, t2fails=000
t=             1290000, clk=1, reset=0, enable=1, we=0, wra=14, wrd=  0, t1attempts=015, t1fails=000, t2attempts=000, t2fails=000
t=             1300000, clk=0, reset=0, enable=1, we=0, wra=14, wrd=  0, t1attempts=015, t1fails=000, t2attempts=000, t2fails=000
t=             1310000, clk=1, reset=0, enable=1, we=0, wra=14, wrd=  0, t1attempts=015, t1fails=000, t2attempts=000, t2fails=000
t=             1320000, clk=0, reset=0, enable=1, we=1, wra=15, wrd=  0, t1attempts=016, t1fails=000, t2attempts=000, t2fails=000
t=             1330000, clk=1, reset=0, enable=1, we=1, wra=15, wrd=  0, t1attempts=016, t1fails=000, t2attempts=000, t2fails=000
t=             1340000, clk=0, reset=0, enable=1, we=0, wra=15, wrd=  0, t1attempts=016, t1fails=000, t2attempts=000, t2fails=000
t=             1350000, clk=1, reset=0, enable=1, we=0, wra=15, wrd=  0, t1attempts=016, t1fails=000, t2attempts=000, t2fails=000
t=             1360000, clk=0, reset=0, enable=1, we=0, wra=15, wrd=  0, t1attempts=016, t1fails=000, t2attempts=000, t2fails=000
t=             1370000, clk=1, reset=0, enable=1, we=0, wra=15, wrd=  0, t1attempts=016, t1fails=000, t2attempts=000, t2fails=000
t=             1380000, clk=0, reset=0, enable=1, we=1, wra=16, wrd=  0, t1attempts=017, t1fails=000, t2attempts=000, t2fails=000
t=             1390000, clk=1, reset=0, enable=1, we=1, wra=16, wrd=  0, t1attempts=017, t1fails=000, t2attempts=000, t2fails=000
t=             1400000, clk=0, reset=0, enable=1, we=0, wra=16, wrd=  0, t1attempts=017, t1fails=000, t2attempts=000, t2fails=000
t=             1410000, clk=1, reset=0, enable=1, we=0, wra=16, wrd=  0, t1attempts=017, t1fails=000, t2attempts=000, t2fails=000
t=             1420000, clk=0, reset=0, enable=1, we=0, wra=16, wrd=  0, t1attempts=017, t1fails=000, t2attempts=000, t2fails=000
t=             1430000, clk=1, reset=0, enable=1, we=0, wra=16, wrd=  0, t1attempts=017, t1fails=000, t2attempts=000, t2fails=000
t=             1440000, clk=0, reset=0, enable=1, we=1, wra=17, wrd=  0, t1attempts=018, t1fails=000, t2attempts=000, t2fails=000
t=             1450000, clk=1, reset=0, enable=1, we=1, wra=17, wrd=  0, t1attempts=018, t1fails=000, t2attempts=000, t2fails=000
t=             1460000, clk=0, reset=0, enable=1, we=0, wra=17, wrd=  0, t1attempts=018, t1fails=000, t2attempts=000, t2fails=000
t=             1470000, clk=1, reset=0, enable=1, we=0, wra=17, wrd=  0, t1attempts=018, t1fails=000, t2attempts=000, t2fails=000
t=             1480000, clk=0, reset=0, enable=1, we=0, wra=17, wrd=  0, t1attempts=018, t1fails=000, t2attempts=000, t2fails=000
t=             1490000, clk=1, reset=0, enable=1, we=0, wra=17, wrd=  0, t1attempts=018, t1fails=000, t2attempts=000, t2fails=000
t=             1500000, clk=0, reset=0, enable=1, we=1, wra=18, wrd=  0, t1attempts=019, t1fails=000, t2attempts=000, t2fails=000
